city,date,unit,account_count,signal_count,position_count,trade_count,position_value,trade_value,directional_type,top_yes,top_no,top_handles
London,April 25,C,19,140,55,85,3278.79,1140.97,NO_heavy_surface,"[{""temp"": ""21°C"", ""value"": 370.51, ""positions"": 4}, {""temp"": ""20°C"", ""value"": 312.52, ""positions"": 5}, {""temp"": ""22°C"", ""value"": 94.73, ""positions"": 5}, {""temp"": ""19°C"", ""value"": 44.2, ""positions"": 6}, {""temp"": ""18°C"", ""value"": 10.85, ""positions"": 4}, {""temp"": ""23°C"", ""value"": 1.62, ""positions"": 2}, {""temp"": ""25°C"", ""value"": 0.47, ""positions"": 2}, {""temp"": ""24°C"", ""value"": 0.47, ""positions"": 2}]","[{""temp"": ""20°C"", ""value"": 676.46, ""positions"": 4}, {""temp"": ""19°C"", ""value"": 656.96, ""positions"": 4}, {""temp"": ""22°C"", ""value"": 571.31, ""positions"": 3}, {""temp"": ""18°C"", ""value"": 281.14, ""positions"": 4}, {""temp"": ""21°C"", ""value"": 215.72, ""positions"": 3}, {""temp"": ""23°C"", ""value"": 20.89, ""positions"": 1}, {""temp"": ""17°C"", ""value"": 20.39, ""positions"": 1}]","[[""Railbird"", 34], [""poligami"", 29], [""StayFreshCheeseBags"", 14], [""hotcold"", 11], [""oleksiyz"", 7], [""heimaokuaipao"", 6], [""Poligarch"", 6], [""Maskache2"", 5], [""Mr.Z."", 5], [""dpnd"", 3]]"
Seoul,April 25,C,17,97,21,76,2792.54,2408.48,YES_signal,"[{""temp"": ""20°C"", ""value"": 2609.68, ""positions"": 5}, {""temp"": ""19°C"", ""value"": 91.83, ""positions"": 3}, {""temp"": ""18°C"", ""value"": 45.0, ""positions"": 2}, {""temp"": ""21°C"", ""value"": 0.44, ""positions"": 6}]","[{""temp"": ""21°C"", ""value"": 44.93, ""positions"": 1}, {""temp"": ""20°C"", ""value"": 0.66, ""positions"": 4}]","[[""hotcold"", 30], [""Maskache2"", 14], [""kamikazetrading"", 8], [""huskyvs"", 7], [""FohnHairdryer"", 7], [""0x77266604E63f5cAF08D19CaEBae0C563ce64aEE"", 4], [""cyberkurajber"", 4], [""BeefSlayer"", 4], [""dpnd"", 3], [""neophyt"", 3]]"
London,April 24,C,17,70,16,54,578.55,475.81,mixed_surface,"[{""temp"": ""17°C"", ""value"": 203.77, ""positions"": 7}, {""temp"": ""18°C"", ""value"": 169.38, ""positions"": 1}, {""temp"": ""19°C"", ""value"": 80.75, ""positions"": 2}, {""temp"": ""16°C"", ""value"": 11.34, ""positions"": 2}, {""temp"": ""20°C"", ""value"": 1.76, ""positions"": 1}]","[{""temp"": ""18°C"", ""value"": 72.04, ""positions"": 2}, {""temp"": ""20°C"", ""value"": 39.51, ""positions"": 1}]","[[""poligami"", 19], [""Jiuzhou"", 8], [""oleksiyz"", 6], [""Maskache2"", 4], [""dpnd"", 4], [""huskyvs"", 4], [""Walter-Weather"", 4], [""Lex-tang"", 3], [""neophyt"", 3], [""sdgoppa"", 3]]"
Chengdu,April 25,C,16,72,25,47,2321.11,677.04,YES_signal,"[{""temp"": ""31°C"", ""value"": 962.63, ""positions"": 4}, {""temp"": ""33°C"", ""value"": 0.32, ""positions"": 4}, {""temp"": ""34°C"", ""value"": 0.22, ""positions"": 2}, {""temp"": ""32°C"", ""value"": 0.12, ""positions"": 3}, {""temp"": ""30°C"", ""value"": 0.01, ""positions"": 1}]","[{""temp"": ""32°C"", ""value"": 689.45, ""positions"": 3}, {""temp"": ""30°C"", ""value"": 460.77, ""positions"": 1}, {""temp"": ""33°C"", ""value"": 166.83, ""positions"": 1}, {""temp"": ""34°C"", ""value"": 39.98, ""positions"": 1}, {""temp"": ""31°C"", ""value"": 0.76, ""positions"": 5}]","[[""hotcold"", 24], [""Lex-tang"", 9], [""newbees"", 9], [""Railbird"", 5], [""Jiuzhou"", 4], [""StayFreshCheeseBags"", 3], [""Poligarch"", 3], [""dpnd"", 2], [""cyberkurajber"", 2], [""738925"", 2]]"
Singapore,April 25,C,16,48,20,28,477.85,394.39,NO_heavy_surface,"[{""temp"": ""34°C"", ""value"": 164.98, ""positions"": 1}, {""temp"": ""32°C"", ""value"": 17.93, ""positions"": 2}, {""temp"": ""31°C"", ""value"": 5.98, ""positions"": 1}, {""temp"": ""33°C"", ""value"": 4.38, ""positions"": 1}, {""temp"": ""35°C"", ""value"": 1.53, ""positions"": 3}, {""temp"": ""36°C"", ""value"": 0.0, ""positions"": 1}]","[{""temp"": ""35°C"", ""value"": 204.78, ""positions"": 3}, {""temp"": ""33°C"", ""value"": 50.27, ""positions"": 1}, {""temp"": ""36°C"", ""value"": 27.29, ""positions"": 1}, {""temp"": ""34°C"", ""value"": 0.71, ""positions"": 6}]","[[""Railbird"", 14], [""newbees"", 9], [""Jiuzhou"", 4], [""tianqizhishen"", 3], [""ColdMath"", 2], [""dpnd"", 2], [""StayFreshCheeseBags"", 2], [""738925"", 2], [""Poligarch"", 2], [""0x2048"", 2]]"
Helsinki,April 25,C,15,85,27,58,2347.31,1519.41,YES_signal,"[{""temp"": ""9°C"", ""value"": 930.51, ""positions"": 4}, {""temp"": ""8°C"", ""value"": 14.5, ""positions"": 1}, {""temp"": ""7°C"", ""value"": 13.27, ""positions"": 1}, {""temp"": ""10°C"", ""value"": 2.03, ""positions"": 3}, {""temp"": ""11°C"", ""value"": 0.41, ""positions"": 2}, {""temp"": ""12°C"", ""value"": 0.23, ""positions"": 2}, {""temp"": ""13°C"", ""value"": 0.16, ""positions"": 1}]","[{""temp"": ""12°C"", ""value"": 940.8, ""positions"": 1}, {""temp"": ""10°C"", ""value"": 271.39, ""positions"": 3}, {""temp"": ""8°C"", ""value"": 162.02, ""positions"": 2}, {""temp"": ""11°C"", ""value"": 9.98, ""positions"": 1}, {""temp"": ""9°C"", ""value"": 2.0, ""positions"": 6}]","[[""ColdMath"", 19], [""oleksiyz"", 18], [""heimaokuaipao"", 11], [""hotcold"", 9], [""StayFreshCheeseBags"", 4], [""Jiuzhou"", 4], [""0x2048"", 4], [""tianqizhishen"", 4], [""dpnd"", 3], [""Poligarch"", 3]]"
Moscow,April 25,C,15,97,40,57,1583.92,473.55,NO_heavy_surface,"[{""temp"": ""10°C"", ""value"": 430.16, ""positions"": 5}, {""temp"": ""11°C"", ""value"": 22.59, ""positions"": 3}, {""temp"": ""8°C"", ""value"": 12.79, ""positions"": 2}, {""temp"": ""7°C"", ""value"": 1.21, ""positions"": 2}, {""temp"": ""12°C"", ""value"": 0.51, ""positions"": 2}, {""temp"": ""13°C"", ""value"": 0.28, ""positions"": 2}, {""temp"": ""9°C"", ""value"": 0.15, ""positions"": 4}, {""temp"": ""6°C"", ""value"": 0.01, ""positions"": 1}]","[{""temp"": ""11°C"", ""value"": 405.6, ""positions"": 4}, {""temp"": ""12°C"", ""value"": 340.33, ""positions"": 4}, {""temp"": ""9°C"", ""value"": 234.5, ""positions"": 3}, {""temp"": ""13°C"", ""value"": 52.72, ""positions"": 2}, {""temp"": ""8°C"", ""value"": 32.92, ""positions"": 1}, {""temp"": ""10°C"", ""value"": 23.87, ""positions"": 3}, {""temp"": ""6°C"", ""value"": 16.29, ""positions"": 1}, {""temp"": ""7°C"", ""value"": 9.99, ""positions"": 1}]","[[""oleksiyz"", 16], [""newbees"", 16], [""heimaokuaipao"", 15], [""Poligarch"", 11], [""StayFreshCheeseBags"", 10], [""cyberkurajber"", 5], [""hotcold"", 5], [""Jiuzhou"", 4], [""tianqizhishen"", 4], [""dpnd"", 2]]"
London,April 23,C,15,46,11,35,151.94,402.17,mixed_surface,"[{""temp"": ""16°C"", ""value"": 84.54, ""positions"": 2}, {""temp"": ""17°C"", ""value"": 29.33, ""positions"": 2}, {""temp"": ""19°C"", ""value"": 14.72, ""positions"": 3}, {""temp"": ""22°C"", ""value"": 0.15, ""positions"": 1}, {""temp"": ""23°C"", ""value"": 0.15, ""positions"": 1}]","[{""temp"": ""18°C"", ""value"": 23.05, ""positions"": 2}]","[[""poligami"", 18], [""syacxxa"", 7], [""neophyt"", 4], [""Walter-Weather"", 3], [""dpnd"", 2], [""Jiuzhou"", 2], [""Mr.Z."", 2], [""Maskache2"", 1], [""huskyvs"", 1], [""cyberkurajber"", 1]]"
Ankara,April 25,C,14,102,34,68,1998.16,821.28,YES_signal,"[{""temp"": ""18°C"", ""value"": 789.61, ""positions"": 5}, {""temp"": ""19°C"", ""value"": 4.0, ""positions"": 6}, {""temp"": ""20°C"", ""value"": 3.04, ""positions"": 5}, {""temp"": ""16°C"", ""value"": 0.16, ""positions"": 4}, {""temp"": ""17°C"", ""value"": 0.15, ""positions"": 2}, {""temp"": ""15°C"", ""value"": 0.05, ""positions"": 1}]","[{""temp"": ""17°C"", ""value"": 648.43, ""positions"": 3}, {""temp"": ""16°C"", ""value"": 339.14, ""positions"": 2}, {""temp"": ""15°C"", ""value"": 117.26, ""positions"": 2}, {""temp"": ""19°C"", ""value"": 94.87, ""positions"": 1}, {""temp"": ""18°C"", ""value"": 1.44, ""positions"": 3}]","[[""Railbird"", 26], [""newbees"", 17], [""heimaokuaipao"", 14], [""StayFreshCheeseBags"", 9], [""Mr.Z."", 9], [""Lex-tang"", 5], [""Jiuzhou"", 5], [""Poligarch"", 5], [""hotcold"", 4], [""cyberkurajber"", 3]]"
Munich,April 25,C,14,80,29,51,1747.3,538.25,YES_signal,"[{""temp"": ""22°C"", ""value"": 348.04, ""positions"": 6}, {""temp"": ""21°C"", ""value"": 340.38, ""positions"": 5}, {""temp"": ""19°C"", ""value"": 0.35, ""positions"": 4}, {""temp"": ""20°C"", ""value"": 0.19, ""positions"": 2}]","[{""temp"": ""20°C"", ""value"": 461.56, ""positions"": 3}, {""temp"": ""22°C"", ""value"": 279.05, ""positions"": 2}, {""temp"": ""21°C"", ""value"": 187.38, ""positions"": 4}, {""temp"": ""19°C"", ""value"": 100.35, ""positions"": 2}, {""temp"": ""18°C"", ""value"": 30.0, ""positions"": 1}]","[[""Poligarch"", 23], [""StayFreshCheeseBags"", 12], [""heimaokuaipao"", 8], [""Lex-tang"", 7], [""hotcold"", 5], [""poligami"", 5], [""Maskache2"", 4], [""neophyt"", 4], [""Jiuzhou"", 4], [""oleksiyz"", 2]]"
