score,city,date,measurement_kind,unit,unique_accounts,signal_count,trade_rows,active_position_rows,active_value_usdc,trade_usdc,top_temperatures,market_type_counts,side_counts,top_handles
831.6,London,April 25,highest,C,25,225,175,50,3159.51,0.0,"[{""label"": ""20C"", ""count"": 81}, {""label"": ""21C"", ""count"": 53}, {""label"": ""19C"", ""count"": 33}, {""label"": ""22C"", ""count"": 33}, {""label"": ""18C"", ""count"": 11}, {""label"": ""23C"", ""count"": 5}, {""label"": ""16C"", ""count"": 3}, {""label"": ""24C"", ""count"": 3}]","{""exact_value"": 222, ""threshold_high"": 3}","{""BUY"": 141, ""SELL"": 34, ""YES"": 28, ""NO"": 22}","[{""handle"": ""patrickbro-wn"", ""count"": 36}, {""handle"": ""Railbird"", ""count"": 34}, {""handle"": ""poligami"", ""count"": 34}, {""handle"": ""hotcold"", ""count"": 18}, {""handle"": ""StayFreshCheeseBags"", ""count"": 17}, {""handle"": ""Poligarch"", ""count"": 13}, {""handle"": ""hgmr2"", ""count"": 9}, {""handle"": ""Maskache2"", ""count"": 8}]"
741.58,Atlanta,April 25,highest,F,20,252,179,73,4157.95,0.0,"[{""label"": ""71F or below"", ""count"": 55}, {""label"": ""76-77F"", ""count"": 40}, {""label"": ""78-79F"", ""count"": 37}, {""label"": ""72-73F"", ""count"": 32}, {""label"": ""74-75F"", ""count"": 32}, {""label"": ""80-81F"", ""count"": 31}, {""label"": ""82-83F"", ""count"": 19}, {""label"": ""84-85F"", ""count"": 3}]","{""exact_range"": 196, ""threshold_low"": 55, ""threshold_high"": 1}","{""BUY"": 103, ""SELL"": 76, ""YES"": 44, ""NO"": 29}","[{""handle"": ""StayFreshCheeseBags"", ""count"": 56}, {""handle"": ""tinylonglong"", ""count"": 36}, {""handle"": ""patrickbro-wn"", ""count"": 27}, {""handle"": ""Railbird"", ""count"": 25}, {""handle"": ""hotcold"", ""count"": 17}, {""handle"": ""Kaiji-"", ""count"": 14}, {""handle"": ""hgmr2"", ""count"": 14}, {""handle"": ""Amano-Hina"", ""count"": 10}]"
672.27,Madrid,April 25,highest,C,24,123,83,40,776.67,0.0,"[{""label"": ""25C"", ""count"": 31}, {""label"": ""22C"", ""count"": 25}, {""label"": ""24C"", ""count"": 21}, {""label"": ""23C"", ""count"": 20}, {""label"": ""26C"", ""count"": 11}, {""label"": ""27C"", ""count"": 6}, {""label"": ""28C or higher"", ""count"": 4}, {""label"": ""21C"", ""count"": 3}]","{""exact_value"": 119, ""threshold_high"": 4}","{""BUY"": 75, ""YES"": 23, ""NO"": 17, ""SELL"": 8}","[{""handle"": ""newbees"", ""count"": 23}, {""handle"": ""patrickbro-wn"", ""count"": 18}, {""handle"": ""Poligarch"", ""count"": 16}, {""handle"": ""hgmr2"", ""count"": 13}, {""handle"": ""StayFreshCheeseBags"", ""count"": 8}, {""handle"": ""hotcold"", ""count"": 7}, {""handle"": ""heimaokuaipao"", ""count"": 6}, {""handle"": ""Andyminvest"", ""count"": 6}]"
625.76,Chicago,April 25,highest,F,20,137,79,58,2026.34,0.0,"[{""label"": ""56-57F"", ""count"": 30}, {""label"": ""58-59F"", ""count"": 29}, {""label"": ""54-55F"", ""count"": 28}, {""label"": ""60-61F"", ""count"": 25}, {""label"": ""62F or higher"", ""count"": 14}, {""label"": ""52-53F"", ""count"": 4}, {""label"": ""50-51F"", ""count"": 3}, {""label"": ""43F or below"", ""count"": 1}]","{""exact_range"": 122, ""threshold_high"": 14, ""threshold_low"": 1}","{""BUY"": 61, ""YES"": 35, ""NO"": 23, ""SELL"": 18}","[{""handle"": ""patrickbro-wn"", ""count"": 23}, {""handle"": ""hotcold"", ""count"": 19}, {""handle"": ""StayFreshCheeseBags"", ""count"": 17}, {""handle"": ""Kaiji-"", ""count"": 11}, {""handle"": ""hgmr2"", ""count"": 11}, {""handle"": ""Maskache2"", ""count"": 10}, {""handle"": ""Railbird"", ""count"": 9}, {""handle"": ""heimaokuaipao"", ""count"": 7}]"
622.03,Helsinki,April 25,highest,C,21,112,77,35,3403.36,0.0,"[{""label"": ""9C"", ""count"": 46}, {""label"": ""10C"", ""count"": 26}, {""label"": ""8C"", ""count"": 8}, {""label"": ""7C"", ""count"": 8}, {""label"": ""6C"", ""count"": 8}, {""label"": ""11C"", ""count"": 6}, {""label"": ""12C"", ""count"": 5}, {""label"": ""5C"", ""count"": 4}]","{""exact_value"": 111, ""threshold_high"": 1}","{""BUY"": 50, ""SELL"": 27, ""YES"": 20, ""NO"": 15}","[{""handle"": ""ColdMath"", ""count"": 22}, {""handle"": ""oleksiyz"", ""count"": 18}, {""handle"": ""hgmr2"", ""count"": 13}, {""handle"": ""heimaokuaipao"", ""count"": 11}, {""handle"": ""hotcold"", ""count"": 9}, {""handle"": ""StayFreshCheeseBags"", ""count"": 4}, {""handle"": ""Jiuzhou"", ""count"": 4}, {""handle"": ""0x2048"", ""count"": 4}]"
589.13,Munich,April 25,highest,C,21,108,81,27,712.5,0.0,"[{""label"": ""22C or higher"", ""count"": 45}, {""label"": ""21C"", ""count"": 38}, {""label"": ""20C"", ""count"": 15}, {""label"": ""19C"", ""count"": 5}, {""label"": ""18C"", ""count"": 4}, {""label"": ""17C"", ""count"": 1}]","{""exact_value"": 63, ""threshold_high"": 45}","{""BUY"": 72, ""YES"": 17, ""NO"": 10, ""SELL"": 9}","[{""handle"": ""patrickbro-wn"", ""count"": 25}, {""handle"": ""Poligarch"", ""count"": 16}, {""handle"": ""heimaokuaipao"", ""count"": 10}, {""handle"": ""Lex-tang"", ""count"": 7}, {""handle"": ""StayFreshCheeseBags"", ""count"": 7}, {""handle"": ""Andyminvest"", ""count"": 6}, {""handle"": ""poligami"", ""count"": 5}, {""handle"": ""smallyua"", ""count"": 5}]"
587.08,Shanghai,April 26,highest,C,20,93,38,55,4758.28,0.0,"[{""label"": ""22C"", ""count"": 17}, {""label"": ""21C"", ""count"": 15}, {""label"": ""23C"", ""count"": 14}, {""label"": ""24C"", ""count"": 12}, {""label"": ""26C"", ""count"": 9}, {""label"": ""20C"", ""count"": 9}, {""label"": ""25C"", ""count"": 8}, {""label"": ""27C"", ""count"": 4}]","{""exact_value"": 90, ""threshold_high"": 2, ""threshold_low"": 1}","{""NO"": 36, ""BUY"": 27, ""YES"": 19, ""SELL"": 11}","[{""handle"": ""tinylonglong"", ""count"": 11}, {""handle"": ""StayFreshCheeseBags"", ""count"": 10}, {""handle"": ""PaulaLolik"", ""count"": 9}, {""handle"": ""hgmr2"", ""count"": 9}, {""handle"": ""0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210"", ""count"": 6}, {""handle"": ""Railbird"", ""count"": 5}, {""handle"": ""Poligarch"", ""count"": 5}, {""handle"": ""tianqizhishen"", ""count"": 5}]"
583.51,Buenos Aires,April 25,highest,C,18,146,103,43,451.4,0.0,"[{""label"": ""24C"", ""count"": 51}, {""label"": ""25C"", ""count"": 28}, {""label"": ""26C"", ""count"": 21}, {""label"": ""27C or higher"", ""count"": 12}, {""label"": ""22C"", ""count"": 9}, {""label"": ""23C"", ""count"": 9}, {""label"": ""21C"", ""count"": 7}, {""label"": ""18C"", ""count"": 3}]","{""exact_value"": 132, ""threshold_high"": 12, ""threshold_low"": 2}","{""BUY"": 77, ""YES"": 31, ""SELL"": 26, ""NO"": 12}","[{""handle"": ""patrickbro-wn"", ""count"": 32}, {""handle"": ""StayFreshCheeseBags"", ""count"": 28}, {""handle"": ""newbees"", ""count"": 22}, {""handle"": ""hotcold"", ""count"": 11}, {""handle"": ""huskyvs"", ""count"": 10}, {""handle"": ""tinylonglong"", ""count"": 7}, {""handle"": ""hgmr2"", ""count"": 6}, {""handle"": ""neophyt"", ""count"": 4}]"
570.44,Moscow,April 25,highest,C,20,100,60,40,2044.2,0.0,"[{""label"": ""11C"", ""count"": 26}, {""label"": ""10C"", ""count"": 20}, {""label"": ""8C"", ""count"": 19}, {""label"": ""9C"", ""count"": 14}, {""label"": ""12C"", ""count"": 10}, {""label"": ""13C or higher"", ""count"": 6}, {""label"": ""7C"", ""count"": 3}, {""label"": ""6C"", ""count"": 2}]","{""exact_value"": 94, ""threshold_high"": 6}","{""BUY"": 37, ""YES"": 23, ""SELL"": 23, ""NO"": 17}","[{""handle"": ""oleksiyz"", ""count"": 16}, {""handle"": ""newbees"", ""count"": 15}, {""handle"": ""heimaokuaipao"", ""count"": 14}, {""handle"": ""Poligarch"", ""count"": 9}, {""handle"": ""StayFreshCheeseBags"", ""count"": 6}, {""handle"": ""cyberkurajber"", ""count"": 5}, {""handle"": ""patrickbro-wn"", ""count"": 5}, {""handle"": ""Jiuzhou"", ""count"": 4}]"
567.58,Tokyo,April 26,highest,C,21,88,40,48,1558.06,0.0,"[{""label"": ""20C"", ""count"": 21}, {""label"": ""19C"", ""count"": 16}, {""label"": ""21C"", ""count"": 14}, {""label"": ""18C"", ""count"": 10}, {""label"": ""22C"", ""count"": 7}, {""label"": ""15C"", ""count"": 6}, {""label"": ""23C or higher"", ""count"": 4}, {""label"": ""17C"", ""count"": 4}]","{""exact_value"": 81, ""threshold_high"": 4, ""threshold_low"": 3}","{""BUY"": 36, ""NO"": 28, ""YES"": 20, ""SELL"": 4}","[{""handle"": ""hgmr2"", ""count"": 16}, {""handle"": ""Railbird"", ""count"": 13}, {""handle"": ""StayFreshCheeseBags"", ""count"": 9}, {""handle"": ""PaulaLolik"", ""count"": 7}, {""handle"": ""jeffkatsu"", ""count"": 5}, {""handle"": ""dpnd"", ""count"": 4}, {""handle"": ""neophyt"", ""count"": 4}, {""handle"": ""Jiuzhou"", ""count"": 4}]"
