city,date,unit,accounts,signals,active_value,side,top_temp,top_side_value,side_share,forecast_max_proxy,forecast_max_time_local,abs_error_top_vs_proxy,source_verdict_future,action_score,top_handles
Moscow,April 26,C,9,32,8747.52,NO,12°C,4132.28,0.994,10.0,2026-04-26T12:00,2.0,NO_aligned_with_proxy_exact_bin_false,570.0,"['0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'ColdMath', 'dpnd', 'oleksiyz', 'Lex-tang', '0x2048', 'tianqizhishen', 'Poligarch']"
Shanghai,April 26,C,10,30,4413.36,NO,21°C,1729.47,0.963,23.8,2026-04-26T13:00,2.8,NO_aligned_with_proxy_exact_bin_false,529.5,"['0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'tianqizhishen', 'dpnd', '0x2048', 'Mr.Z.', 'Railbird', 'oleksiyz', 'neophyt']"
Beijing,April 26,C,8,23,3026.25,NO,22°C,1231.64,0.977,24.4,2026-04-26T15:00,2.4,NO_aligned_with_proxy_exact_bin_false,404.2,"['Railbird', 'dpnd', 'Poligarch', '0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', '0x2048', 'oleksiyz', 'tianqizhishen', 'Mr.Z.']"
Seoul,April 26,C,10,28,1925.83,NO,17°C,914.89,0.91,22.6,2026-04-26T14:00,5.6,NO_aligned_with_proxy_exact_bin_false,348.5,"['dpnd', 'Poligarch', '0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'kamikazetrading', 'neophyt', 'tianqizhishen', 'Railbird', 'FohnHairdryer']"
Munich,April 26,C,11,38,1756.1,NO,16°C,723.51,0.879,18.3,2026-04-26T16:00,2.3,NO_aligned_with_proxy_exact_bin_false,332.6,"['0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'heimaokuaipao', 'neophyt', 'Railbird', 'dpnd', 'Poligarch', 'oleksiyz', 'Mr.Z.']"
Shanghai,April 27,C,3,29,2436.99,NO,24°C,980.27,0.983,25.8,2026-04-27T14:00,1.8,NO_aligned_with_proxy_exact_bin_false,305.5,"['0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'dpnd', 'tianqizhishen']"
Seoul,April 27,C,6,23,1656.77,NO,15°C,932.08,0.983,16.5,2026-04-27T15:00,1.5,NO_aligned_with_proxy_exact_bin_false,299.5,"['0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'tianqizhishen', 'Mr.Z.', 'FohnHairdryer', 'dpnd', '0x2048']"
London,April 26,C,11,27,948.24,NO,20°C,649.16,0.791,18.2,2026-04-26T16:00,1.8,NO_aligned_with_proxy_exact_bin_false,292.8,"['0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'neophyt', 'Railbird', 'dpnd', 'Lex-tang', 'heimaokuaipao', '0x2048', 'Mr.Z.']"
Munich,April 27,C,5,34,2282.0,NO,18°C,1088.83,0.988,,,,fetch_error,250.2,"['0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', '0x2048', 'Mr.Z.', 'dpnd', 'oleksiyz']"
Ankara,April 26,C,9,32,933.82,NO,18°C,309.91,0.637,20.4,2026-04-26T16:00,2.4,NO_aligned_with_proxy_exact_bin_false,238.3,"['dpnd', 'Poligarch', 'heimaokuaipao', 'Lex-tang', 'tianqizhishen', 'Mr.Z.', 'oleksiyz', '0x2048']"
Tel Aviv,April 26,C,9,24,1004.62,NO,22°C,199.49,0.832,24.5,2026-04-26T11:00,2.5,NO_aligned_with_proxy_exact_bin_false,230.1,"['0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'neophyt', 'oleksiyz', '0x2048', 'dpnd', 'Poligarch', 'Mr.Z.', 'heimaokuaipao']"
Denver,April 26,F,6,20,753.21,NO,64°F,486.72,0.83,58.6,2026-04-26T14:00,5.4,NO_aligned_with_proxy_exact_bin_false,218.8,"['ColdMath', 'dpnd', 'oleksiyz', 'Poligarch', 'Mr.Z.', '0x2048']"
Tokyo,April 26,C,9,29,555.4,NO,15°C,130.2,0.742,18.8,2026-04-26T13:00,3.8,NO_aligned_with_proxy_exact_bin_false,205.2,"['Railbird', 'dpnd', 'neophyt', 'tianqizhishen', 'Mr.Z.', '0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'oleksiyz', 'Poligarch']"
Miami,April 26,F,8,17,335.16,YES,87°F,114.71,0.509,82.4,2026-04-26T13:00,4.6,YES_far_from_proxy_check_source,64.9,"['heimaokuaipao', 'neophyt', 'dpnd', 'Poligarch', '0x2048', '0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210', 'oleksiyz', 'Mr.Z.']"
