handle,rank,pnl,roi_pct,class,style,recent_weather_trades,active_weather_positions_live,recent_trade_avg_usdc,recent_trade_max_usdc,active_weather_value_sum,top_cities,top_dates,profile
xX25Xx,59,18841.23,20.13,weather specialist / weather-heavy,sparse/large-ticket conviction trader,117,145,187.03,9239.89,241.24,Seoul:73; Toronto:32; Paris:25; Seattle:19; Wuhan:14,March 27:107; March 23:34; April 15:20; March 6:16; March 25:15,https://polymarket.com/profile/0x2a353ce9e57a51e65814d2fe7cdd4ad3f20741ce
ColdMath,3,121302.21,1.37,weather specialist / weather-heavy,sparse/large-ticket conviction trader,165,128,194.87,4149.66,17514.18,N:34; Dallas:31; Moscow:29; Helsinki:19; Denver:17,April 24:66; April 26:51; April 25:48; April 27:31; be 1:4,https://polymarket.com/profile/0x594edb9112f526fa6a80b8f858a6379c8a2c1c11
syacxxa,56,19511.69,4.1,weather specialist / weather-heavy,sparse/large-ticket conviction trader,192,164,329.95,4505.99,2523.95,London:201; Buenos Aires:60; Paris:50; L:12; New York City:9,be 12:32; be 16:18; be 13:18; be 11:17; be 15:16,https://polymarket.com/profile/0x2b2866a724e73bf45af306036f12f20170b4d021
0xhana,72,15798.98,4.91,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,200,200,23.69,75.0,35284.28,Miami:122; Seattle:109; New York City:101; Atlanta:68,March 30:159; March 29:52; March 18:8; March 20:8; February 15:8,https://polymarket.com/profile/0xa37d1d1a3367c6ebc692e37c29bccb8bb015b2b4
Maskache2,19,49973.43,1.08,weather specialist / weather-heavy,sparse/large-ticket conviction trader,200,186,277.19,3652.69,8952.83,Seoul:79; New York City:76; Wellington:21; S:20; Munich:19,April 24:96; April 23:77; April 25:18; April 1:11; April 14:11,https://polymarket.com/profile/0x1f66796b45581868376365aef54b51eb84184c8d
Railbird,42,23358.41,2.93,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,200,199,21.43,29.98,10181.68,London:62; Atlanta:36; New York City:32; Ankara:29; Warsaw:26,April 25:144; April 26:40; April 24:38; be 20:16; be 19:15,https://polymarket.com/profile/0x906f2454a777600aea6c506247566decef82371a
Amano-Hina,132,8831.67,6.43,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,200,200,23.16,75.06,15039.13,New York City:96; Atlanta:77; San Francisco:71; Miami:56; Seattle:36,April 24:173; April 25:41; April 7:14; April 15:13; April 1:13,https://polymarket.com/profile/0x8aa29c27241b6909a7c4d6cb4f400267aa215a0b
mjf02,78,14775.84,2.12,weather specialist / weather-heavy,sparse/large-ticket conviction trader,200,197,231.88,2000.0,7900.52,Paris:105; London:95; Madrid:63; Munich:42; New York City:32,March 30:83; April 5:40; be 13:22; March 29:17; be 14:16,https://polymarket.com/profile/0x5ea284bb13db26c76529a944e6bf9497c8c5e97f
dpnd,41,24134.16,0.3,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,174,170,25.62,237.64,9788.07,Seoul:19; Moscow:14; Madrid:13; London:13; Seattle:12,April 26:99; April 25:74; April 27:37; April 22:33; April 24:28,https://polymarket.com/profile/0x5f211a24da4c005d9438a1ea269673b85ed0b376
kamikazetrading,109,10869.73,3.27,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,200,107,40.35,204.36,721.09,New York City:62; Atlanta:60; Seattle:56; Seoul:31; San Francisco:27,April 24:38; April 23:26; April 22:21; April 13:21; March 28:21,https://polymarket.com/profile/0xf1f81d40ae910099e1a65addb54942e76ca0f4cb
0x4CE3f17Be91C3d0D6dbFed7Bd4D326957dec4291-1768045938794,100,11588.69,2.21,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,200,196,87.01,666.15,3226.02,Taipei:99; Seoul:34; Wellington:24; Shanghai:19; Istanbul:17,April 22:83; April 23:52; April 21:48; April 24:20; April 12:7,https://polymarket.com/profile/0x4ce3f17be91c3d0d6dbfed7bd4d326957dec4291
huskyvs,125,9288.91,2.94,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,199,189,96.05,1678.64,1300.94,Buenos Aires:55; Seoul:33; Shenzhen:21; Madrid:19; Busan:18,April 21:69; April 23:52; April 25:39; April 22:32; April 24:22,https://polymarket.com/profile/0xaf17116ae2b1476032785a67bd5b7c8c05905c20
0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,111,10474.8,1.13,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,200,200,26.27,130.41,40964.08,Munich:36; Shanghai:33; Guangzhou:26; Karachi:25; Istanbul:23,April 27:209; April 26:135; April 25:42; be 20:6; be 13:3,https://polymarket.com/profile/0xec86a2d3f69015b1a9382e4dfa8695e1b48760e4
Walter-Weather,144,7794.98,2.47,weather specialist / weather-heavy,breadth/grid small-ticket surface trader,200,183,77.25,950.25,4595.02,London:96; Paris:51; Munich:46; Warsaw:22; Helsinki:17,April 23:33; April 22:32; April 19:26; April 24:25; April 21:25,https://polymarket.com/profile/0x85c06787486a90e05ba1df96c034ef95c8cce01d
