rank,handle,pnl_usd,roi_pct,weather_item_count,active_weather_positions,recent_weather_activity,inferred_pattern,top_cities,market_type_counts,profile_url
3,ColdMath,121335.48,1.373,383,146,237,event-surface/exact-bin grid,"[{""city"": ""Paris"", ""count"": 127}, {""city"": ""Helsinki"", ""count"": 77}, {""city"": ""Singapore"", ""count"": 18}, {""city"": ""Miami"", ""count"": 15}, {""city"": ""New York City"", ""count"": 14}, {""city"": ""Wellington"", ""count"": 12}, {""city"": ""Atlanta"", ""count"": 11}, {""city"": ""Chicago"", ""count"": 8}]","{""exact_value"": 285, ""threshold"": 52, ""exact_range"": 46}",https://polymarket.com/profile/0x594edb9112f526fa6a80b8f858a6379c8a2c1c11
4,gopfan,118426.47,16.006,34,0,34,event-surface/exact-bin grid,"[{""city"": ""unknown"", ""count"": 34}]","{""weather_other"": 6, ""temperature_other"": 24, ""exact_range"": 4}",https://polymarket.com/profile/0x6af75d4e4aaf700450efbac3708cce1665810ff1
6,Hans323,80872.37,1.16,63,0,63,event-surface/exact-bin grid,"[{""city"": ""Toronto"", ""count"": 21}, {""city"": ""Tokyo"", ""count"": 10}, {""city"": ""Manila"", ""count"": 8}, {""city"": ""Seoul"", ""count"": 5}, {""city"": ""Madrid"", ""count"": 5}, {""city"": ""Guangzhou"", ""count"": 3}, {""city"": ""London"", ""count"": 3}, {""city"": ""New York City"", ""count"": 2}]","{""exact_range"": 2, ""exact_value"": 36, ""threshold"": 23, ""weather_other"": 2}",https://polymarket.com/profile/0x0f37cb80dee49d55b5f6d9e595d52591d6371410
7,Handsanitizer23,71174.4,7.466,203,15,188,event-surface/exact-bin grid,"[{""city"": ""Guangzhou"", ""count"": 132}, {""city"": ""Atlanta"", ""count"": 12}, {""city"": ""Shenzhen"", ""count"": 6}, {""city"": ""Lucknow"", ""count"": 6}, {""city"": ""Wellington"", ""count"": 5}, {""city"": ""Hong Kong"", ""count"": 5}, {""city"": ""Shanghai"", ""count"": 5}, {""city"": ""Seoul"", ""count"": 4}]","{""exact_value"": 169, ""threshold"": 16, ""exact_range"": 18}",https://polymarket.com/profile/0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641
8,automatedAItradingbot,64617.33,2.735,171,18,153,event-surface/exact-bin grid,"[{""city"": ""Seoul"", ""count"": 73}, {""city"": ""unknown"", ""count"": 12}, {""city"": ""Lagos"", ""count"": 10}, {""city"": ""Shanghai"", ""count"": 9}, {""city"": ""Tokyo"", ""count"": 6}, {""city"": ""Shenzhen"", ""count"": 6}, {""city"": ""Sao Paulo"", ""count"": 5}, {""city"": ""Dallas"", ""count"": 5}]","{""exact_value"": 105, ""exact_range"": 25, ""threshold"": 29, ""weather_other"": 5, ""temperature_other"": 7}",https://polymarket.com/profile/0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11
9,BeefSlayer,63460.27,4.472,252,4,248,event-surface/exact-bin grid,"[{""city"": ""New York City"", ""count"": 86}, {""city"": ""Atlanta"", ""count"": 46}, {""city"": ""Seoul"", ""count"": 41}, {""city"": ""Seattle"", ""count"": 31}, {""city"": ""Chicago"", ""count"": 21}, {""city"": ""Houston"", ""count"": 8}, {""city"": ""Los Angeles"", ""count"": 6}, {""city"": ""Austin"", ""count"": 6}]","{""exact_value"": 38, ""threshold"": 28, ""exact_range"": 186}",https://polymarket.com/profile/0x331bf91c132af9d921e1908ca0979363fc47193f
10,BigMike11,62776.72,7.379,6,0,6,event-surface/exact-bin grid,"[{""city"": ""unknown"", ""count"": 6}]","{""weather_other"": 6}",https://polymarket.com/profile/0xecdbd79566a25693b9971c48d7de84bc05f7da79
11,Kapii,57190.13,3.119,5,4,1,event-surface/exact-bin grid,"[{""city"": ""unknown"", ""count"": 5}]","{""exact_range"": 3, ""temperature_other"": 1, ""weather_other"": 1}",https://polymarket.com/profile/0xb74711992caf6d04fa55eecc46b8efc95311b050
12,WeatherTraderBot,57179.74,3.198,73,2,71,event-surface/exact-bin grid,"[{""city"": ""London"", ""count"": 66}, {""city"": ""Seoul"", ""count"": 5}, {""city"": ""New York City"", ""count"": 2}]","{""exact_value"": 70, ""threshold"": 1, ""exact_range"": 2}",https://polymarket.com/profile/0xacc8e9dcabf9d65a5c78e3bec6941ed53a2b7d08
13,HondaCivic,56197.56,0.879,251,2,249,event-surface/exact-bin grid,"[{""city"": ""Seattle"", ""count"": 43}, {""city"": ""Ankara"", ""count"": 28}, {""city"": ""Denver"", ""count"": 25}, {""city"": ""Warsaw"", ""count"": 24}, {""city"": ""New York City"", ""count"": 23}, {""city"": ""Miami"", ""count"": 21}, {""city"": ""Chicago"", ""count"": 18}, {""city"": ""Los Angeles"", ""count"": 17}]","{""exact_value"": 87, ""exact_range"": 156, ""threshold"": 8}",https://polymarket.com/profile/0x15ceffed7bf820cd2d90f90ea24ae9909f5cd5fa
